,Unnamed: 0.1,Star_name,Distance,Mass,Radius,Star_no,Dis,Ms,Rad
0,0,Sun,0.000015813,1,1,Pegasus,25° 54′ 18″,46.1,T4.5
1,1,Sirius,0008.6,2.1,1.71,,,,
2,2,Canopus,0310,15,71,Tucana,−64° 10′ 35.8″,192.0,L1γ
3,3,Alpha Centauri,0004.4,1.1,1.2,Phoenix,−40° 44′ 5.8″,,L5
4,4,Arcturus,0037,1.1,26,Pisces,−1° 58′ 20.1″,37.7,M9.5
5,5,Vega,0025,2.2,2.7,Cassiopeia,47° 59′ 19.1″,143.0,L4
6,6,Capella,0043,2.6,12,Pisces,5° 3′ 41.7″,236.0,M9.5β
7,7,Rigel,0860,23,78.9,Andromeda,22° 19′ 32.8″,46.9,M8
8,8,Procyon,0011.4,1.5,1.9,Cetus,−14° 50′ 33.3″,87.2,L7
9,9,Betelgeuse,0640[1],20,950,Cetus,−15° 21′ ″,131.0,L1-L4β
10,10,Achernar,0144,6.7,9.3,Pisces,5° 23′ 5″,31.0,T6.5
11,11,Hadar,0390,10.5,8.6,Pisces,18° 21′ 10.4″,28.6,L3.5
12,12,Altair,0017,1.8,1.8,Pisces,16° 34′ 44.6″,57.0,L2β
13,13,Acrux,0320,18,8.9,Cassiopeia,68° 3′ 54.3″,40.0,L7.5p
14,14,Aldebaran,0065,1.5,44,Sculptor,−33° 22′ 40.2″,34.0,T7
15,15,Antares,0600,12,680,Sculptor,−28° 22′ 42″,,M7.5
16,16,Spica,0260,11.43,7.47,Cetus,−6° 51′ 23.9″,96.0,L0β
17,17,Pollux,0034,1.9,8.8,Cetus,−1° 14′ 1.3″,30.0,T8.5
18,18,Fomalhaut,0025,1.9,1.8,Pisces,19° ′ 35″,70.0,L6β
19,19,Deneb,"2,600",19,203,Cetus,−0° 41′ 56.3″,51.0,L8
20,20,Mimosa,0350,16,8.4,Sculptor,−34° 3′ 25.8″,163.0,L2:
21,21,Regulus,0077,3.8,3.1,Phoenix,−46° 33′ 57.4″,130.0,L0γ
22,22,Adhara,0430,12.5,14,,12° 44′ 30″,70.0,T1
23,23,Shaula,0700,14.5,8.8,Cetus,−11° 59′ 29.67″,65.0,L5.5
24,24,Castor,0052,2.8,2.4,Cetus,−11° 59′ 29.67″,65.0,L8
25,25,Gacrux,0088,1.5,84,Cetus,−11° 59′ 29.67″,65.0,T0
26,26,Bellatrix,0240,8.6,5.8,Cetus,−0° 0′ 56.4″,111.0,T4.5
27,27,Elnath,0130,5.0,4.2,,−30° 15′ 31.3″,101.0,L0γ
28,28,Miaplacidus,0110,3.5,6.8,,−64° 42′ 6.8″,155.0,L0γ
29,29,Alnilam,"2,000",32,42,Cetus,−3° 26′ 58.7″,152.0,L0γ
30,30,Gamma Velorum,"01,100",9.0,6,Fornax,−24° 53′ 29.8″,35.0,T6
31,31,Alnair,0101,4.0,3.4,,−16° 51′ 21.6″,53.0,M8
32,32,Alioth,0081,2.9,4.2,,−0° 47′ 36.4″,,M8
33,33,Alnitak,01050,33,20,Aries,+16° 52′ 53.2″,12.578,M7
34,34,Dubhe,0120,4.25,30,,32° 6′ 37.3″,184.0,M7β
35,35,Mirfak,0590,8.5,68,Cetus,2° 23′ 59.1″,24.0,T8
36,36,Wezen,"1,600",17,200,Eridanus,−47° 0′ 50.9″,16.2,L8
37,37,Sargas,0270,5.7,26,Fornax,−34° 21′ 29.2″,45.0,L7
38,38,Kaus Australis,0140,3.5,6.8,,18° 54′ 23.3″,47.0,M8
39,39,Avior,0630,9.0,130,,−46° 31′ 23.7″,192.0,L0γ
40,40,Alkaid,0104,6.1,3.4,,4° 25′ 40.6″,59.0,T5.5
41,41,Menkalinan,081,2.39,2.77,Eridanus,−21° 2′ 5.7″,80.0,L5γ
42,42,Atria,0390,7,92,Taurus,23° 2′ 5.1″,98.0,L8
43,43,Alhena,0109,2.8,3.3,,−49° 53′ 32.2″,27.0,M9
44,44,Peacock,0180,5.9,4.8,Fornax,−35° 25′ 44″,20.9,M9β
45,45,Alsephina[2],0080,2.4,2.9,,25° 40′ 23.3″,88.0,L0
